From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
7lxn	D0PUJ4	unreviewed	D0PUJ4_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	280
2b4c	Q75760	unreviewed	Q75760_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
7ugn	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6opo	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4yfl	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
8sb3	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
3tyg	Q75760	unreviewed	Q75760_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
6opo	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8euv	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8sb4	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
6mco	B3UF58	unreviewed	B3UF58_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6mco	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8czz	A0A2R8G1F7	unreviewed	A0A2R8G1F7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	862
8czz	A0A140EMT3	unreviewed	A0A140EMT3_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	864
6mft	M4Q8P8	unreviewed	M4Q8P8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	668
3u2s	Q6TCP8	unreviewed	Q6TCP8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	841
3ngb	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4jpv	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4olx	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4jkp	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
6mtj	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8g6u	B0EZY8	unreviewed	B0EZY8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	229
4ybl	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
4jan	R4GRV3	unreviewed	R4GRV3_HV1	ENVELOPE GLYCOPROTEIN GP120 of HIV-1 clade C		Human immunodeficiency virus type 1	355
5kjr	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
5v7j	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6dc3	M1E1E4	unreviewed	M1E1E4_HV1	Envelope glycoprotein		Human immunodeficiency virus type 1	59
3se8	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
8tl3	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4olu	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
5fyl	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5te6	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
7kde	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6ch7	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4lss	Q3ZLH8	unreviewed	Q3ZLH8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
6ch7	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5u7m	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
3u4e	Q1PHM9	unreviewed	Q1PHM9_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	844
5cez	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
2cmr	D0VWW0	unreviewed	D0VWW0_HV1	Transmembrane glycoprotein		Human immunodeficiency virus type 1	226
7ll1	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8g6u	A0A6C0ZY47	unreviewed	A0A6C0ZY47_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	864
4kht	A1YNW7	unreviewed	A1YNW7_HV1	Env polyprotein	env	Human immunodeficiency virus type 1	74
7ll1	Q2N0S7	unreviewed	Q2N0S7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7sd3	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4jm2	Q75760	unreviewed	Q75760_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
5cd5	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
4j6r	Q8J581	unreviewed	Q8J581_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	749
6dcq	A0A2H4K974	unreviewed	A0A2H4K974_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	859
6mug	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5w6d	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8sb0	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
8saw	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
4p9h	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
5i9q	A0A0K1H6P9	unreviewed	A0A0K1H6P9_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	845
6utk	Q2N0S9	unreviewed	Q2N0S9_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	862
6oz3	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
6utk	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4olw	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
6mtn	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6u0l	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4ydl	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4lst	R4GRV3	unreviewed	R4GRV3_HV1	ENVELOPE GLYCOPROTEIN GP120 of HIV-1 clade C		Human immunodeficiency virus type 1	355
6oz2	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
8c8t	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8saq	A0A1W6IHA4	unreviewed	A0A1W6IHA4_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	866
6bck	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
7ll2	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6w4m	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
8euu	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6opp	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6mu6	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6opp	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4rx4	Q8JDI3	unreviewed	Q8JDI3_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	852
4lsu	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
6w16	M1E1E4	unreviewed	M1E1E4_HV1	Envelope glycoprotein		Human immunodeficiency virus type 1	59
7fjn	M1E1E4	unreviewed	M1E1E4_HV1	Envelope glycoprotein		Human immunodeficiency virus type 1	59
4oly	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
7ugq	D7S1H2	unreviewed	D7S1H2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	855
6u0n	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4khx	A1YNW7	unreviewed	A1YNW7_HV1	Env polyprotein	env	Human immunodeficiency virus type 1	74
5uty	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4s1s	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
4yc2	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
7ucf	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5utf	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4ydk	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
8g4m	Q2N0S7	unreviewed	Q2N0S7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8g4m	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4dqo	Q6TCP8	unreviewed	Q6TCP8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	841
8tkc	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5um8	A1EAI1	unreviewed	A1EAI1_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	858
6okp	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6okp	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4lsr	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
7t9t	M4M0W3	unreviewed	M4M0W3_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	846
6um7	Q2N0S7	unreviewed	Q2N0S7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6bf4	D7S2G1	unreviewed	D7S2G1_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	845
4xvs	H9DP89	unreviewed	H9DP89_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	854
7t9t	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6mu8	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6v8z	Q2N0S7	unreviewed	Q2N0S7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6v8z	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5u7o	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6mug	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6um7	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
8tr3	D7S2E5	unreviewed	D7S2E5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	869
5f9w	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
6opq	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6dfh	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8ttw	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6dfh	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
2ny3	Q993A8	unreviewed	Q993A8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	588
2nxy	Q49DS8	unreviewed	Q49DS8_HV1	Envelope glycoprotein	env	Human immunodeficiency virus type 1	208
4lsv	C6G099	unreviewed	C6G099_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	849
3se9	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
6mfp	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
6wix	O55774	unreviewed	O55774_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	853
6vtt	A0A0N9FF17	unreviewed	A0A0N9FF17_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	850
6wix	Q0H5Z3	unreviewed	Q0H5Z3_HV1	Envelope glycoprotein	env	Human immunodeficiency virus type 1	557
4ydj	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4xny	Q8JDI3	unreviewed	Q8JDI3_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	852
6nnf	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7lok	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7qti	M1E1E4	unreviewed	M1E1E4_HV1	Envelope glycoprotein		Human immunodeficiency virus type 1	59
7pc2	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4jdt	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4xvt	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
7rai	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8fk5	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6cde	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7ly9	A0A0N9FF17	unreviewed	A0A0N9FF17_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	850
6cde	Q2N0S7	unreviewed	Q2N0S7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7ly9	W6HZ60	unreviewed	W6HZ60_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	865
8sax	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
5w4l	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
6mdt	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6vi0	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6opq	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6mg7	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
4rfo	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4xmp	Q8JDI3	unreviewed	Q8JDI3_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	852
6muf	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
3lqa	Q1PHM6	unreviewed	Q1PHM6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	865
6muf	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6udj	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4om0	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
2ny6	Q8Q7Z9	unreviewed	Q8Q7Z9_HV1	Envelope glycoprotein	env	Human immunodeficiency virus type 1	207
5t3z	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8dok	A0A140EMT3	unreviewed	A0A140EMT3_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	864
7lo6	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6ck9	E9MY73	unreviewed	E9MY73_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	862
6ck9	E1ADR9	unreviewed	E1ADR9_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	851
4i3r	Q3ZLH8	unreviewed	Q3ZLH8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
5vn8	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5vn8	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5te4	C6ZIH2	unreviewed	C6ZIH2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
6myy	Q2N0S9	unreviewed	Q2N0S9_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	862
6myy	M4Q8P8	unreviewed	M4Q8P8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	668
6mu7	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6b0n	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5t3x	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7sx6	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
3mac	D0VWW0	unreviewed	D0VWW0_HV1	Transmembrane glycoprotein		Human immunodeficiency virus type 1	226
6nf2	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4ywg	Q6TCP8	unreviewed	Q6TCP8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	841
4tvp	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8vgv	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
5vgj	Q5G5U5	unreviewed	Q5G5U5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	849
8saz	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
6ous	M1E1E4	unreviewed	M1E1E4_HV1	Envelope glycoprotein		Human immunodeficiency virus type 1	59
8ttw	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6v8x	Q2N0S9	unreviewed	Q2N0S9_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	862
5cjx	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6oej	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
6w03	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8euw	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4h8w	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
5te7	Q202J8	unreviewed	Q202J8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4olz	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
8say	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
6cdi	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4s1q	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
8fl1	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6cdi	Q2N0S7	unreviewed	Q2N0S7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
7ucg	Q202J5	unreviewed	Q202J5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	858
4lsp	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
8sav	A0A1W6IHA4	unreviewed	A0A1W6IHA4_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	866
7kmd	Q202J8	unreviewed	Q202J8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
5wb9	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
8vgw	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
6x5b	B3UEZ6	unreviewed	B3UEZ6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8tl4	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
2ny1	Q993A8	unreviewed	Q993A8_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	588
4olv	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
5esv	W6ICC0	unreviewed	W6ICC0_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	852
8tl2	Q2N0S5	unreviewed	Q2N0S5_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
8flw	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
4jb9	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
4s1r	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
4ye4	Q69994	unreviewed	Q69994_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	873
8sb5	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
6udk	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6x5b	B3UES2	unreviewed	B3UES2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6v8x	Q2N0S6	unreviewed	Q2N0S6_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
6vzi	W6ICH7	unreviewed	W6ICH7_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	856
6vzi	A0A0N9FF17	unreviewed	A0A0N9FF17_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	850
6ofi	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
6mdt	B3UF58	unreviewed	B3UF58_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	860
3u7y	A0A0M3KKW9	unreviewed	A0A0M3KKW9_HV1	clade A/E 93TH057 HIV-1 gp120 core	HIV-1 Env	Human immunodeficiency virus type 1	353
8sar	A0A1W6IPB2	unreviewed	A0A1W6IPB2_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	847
4lsq	Q0ED31	unreviewed	Q0ED31_HV1	Envelope glycoprotein gp160	env	Human immunodeficiency virus type 1	857
3ma9	D0VWW0	unreviewed	D0VWW0_HV1	Transmembrane glycoprotein		Human immunodeficiency virus type 1	226
